minimum_nights,amenity_score,number_of_reviews,availability_365,price_class,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Unknown,room_type_Private room,room_type_Shared room,room_type_Unknown
-0.2599790317196787,1.582589046981526,-0.17825773710834691,1.0959029348284501,3,False,True,False,False,False,False,False,True
-0.2599790317196787,0.08690541166242563,-0.4975706492785546,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.2599790317196787,-0.2195019997397515,1.076185846417469,-0.15962238469637102,1,True,False,False,False,False,True,False,False
-0.2599790317196787,0.3517660554168494,-0.4975706492785546,-0.5194375677309234,1,False,True,False,False,False,False,False,False
-0.2599790317196787,-1.0296639688709306,-0.5203787144335694,-0.16727802688859555,1,False,False,False,False,False,True,False,False
-0.09937318716827241,-0.1779552320919985,-0.4747625841235398,-0.8026963288432307,1,False,True,False,False,False,True,False,False
-0.2599790317196787,-2.1046865817565346,-0.24668193257339144,-0.5041262833464744,0,False,True,False,False,False,True,False,False
-0.2599790317196787,1.7072293499247848,-0.31510612803843596,-0.8486301819965778,2,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.4064624541546388,0.00420678413177176,0.605941834526081,1,True,False,False,False,False,False,False,False
1.2390088507601131,-1.2633645368895403,-0.45195451896852495,-0.2208675222341672,0,False,True,False,False,False,False,False,False
-0.2599790317196787,-0.3389489567270406,1.8744681268429881,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.3135143132368141,-0.027348199368894696,-0.4975706492785546,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.3135143132368141,-0.07928165892858569,-0.4747625841235398,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.2599790317196787,-0.11044173466440035,-0.2238738674183766,-0.8486301819965778,1,True,False,False,False,False,False,False,False
-0.2599790317196787,0.891874034837636,-0.5203787144335694,-0.8103519710354552,2,False,True,False,False,False,True,False,False
-0.3135143132368141,-0.988117201223178,-0.5203787144335694,-0.8486301819965778,1,False,True,False,False,False,True,False,False
-0.20644375020254327,-0.8219301306321667,-0.38353032350348043,1.8920897228198001,1,False,False,True,False,False,True,False,False
0.007697375865998424,0.2634791741653749,-0.24668193257339144,-0.8486301819965778,1,True,False,False,False,False,True,False,False
-0.09937318716827241,-0.6401630221732483,0.9849535857974095,0.23081536710707948,1,False,False,True,False,False,True,False,False
-0.20644375020254327,-0.8375101685000742,2.8095987981985964,-0.6725504115754138,1,False,False,True,False,False,False,False,False
1.2390088507601131,1.4060152844785763,-0.5203787144335694,1.8308445852820041,2,False,True,False,False,False,False,False,False
